"asc_NonStop","asc_1Stop","asc_1StopChange","b_StopPenaltyHours","b_Fare","b_Legroom2","b_Legroom3","b_Legroom4","b_DiffTime","logLike"
0,0,0,0,0,0,0,0,0,-3182.67980027151
0,0,0,0,0,0,0,0,0,-3182.67980027151
0,-0.000251221333333333,-0.000273237333333333,-0.000693333333333334,-0.0273800533333333,1.70666666666671e-06,-5.1199999999996e-07,4.53973333333334e-05,-0.000685983288888888,-3107.11615110644
0,-0.152655498156395,-0.175045435074105,-0.432312231408063,-0.0270633657307806,0.00445992064106011,-0.00293028159926318,0.0261415936788908,-0.419891546648159,-2817.95073733015
0,-0.375584658280415,-0.432313616331411,-1.04336696012293,-0.0270314305854044,0.00514209388676893,0.00260355464348199,0.0683954005446469,-0.304386009190643,-2188.47421719515
0,-0.498384313881939,-1.06461002848929,-0.785142574284266,-0.0270438906088696,0.0545486209834499,0.234385270846037,0.547906799112162,-0.30680993681497,-2138.92019511305
0,-1.37419821824051,-1.4762246578093,-0.353369909084517,-0.0268379808856919,0.432574818167967,0.628659986696159,0.930703622846266,-0.311180783222702,-2090.85071782752
0,-1.48994033334445,-1.76005783350806,-0.22446055101509,-0.0269141763370459,0.682708213941457,0.653360586090628,0.729107187780246,-0.308770379478064,-2085.69987921638
0,-1.83378395933321,-2.08112929553362,-0.00749419762806688,-0.0267454100136548,0.361424414132001,0.265594380057998,0.485128071975906,-0.301941481342829,-2073.88427610576
0,-1.85063417232942,-2.10206404265739,-0.00188741396532214,-0.0266473193007577,0.285538651955533,0.332795688554416,0.426898466529144,-0.299864939460571,-2068.07704547182
0,-1.15706285556658,-1.37543754390789,-0.931978569285706,-0.0196351478640539,0.69909811580112,0.397354596420375,1.09532642730631,0.0178021352961132,-2047.57456422466
0,-1.47300434050525,-1.70567838493499,-0.416396572871125,-0.0221537039128494,0.411818638217854,0.468054719061223,0.722665004530947,-0.118006534858402,-1904.68824960838
0,-1.41965903288821,-1.63806719861005,-0.350331931475727,-0.0209949517762331,0.386948283725533,0.468096574632926,0.688086078490158,-0.115504337260888,-1897.09424345298
0,-1.36755133933766,-1.5705280741754,-0.328819731930916,-0.0194005672750346,0.375108519318372,0.428606976477375,0.652592916372992,-0.106760303477921,-1894.57910279698
0,-1.36152449079058,-1.56559980851056,-0.340224353068023,-0.0193286180733038,0.379835255198616,0.42785807389578,0.658699401385643,-0.107944305517089,-1894.51265853088
0,-1.36151698824345,-1.56591251520842,-0.341023875439197,-0.0193133403679905,0.379508253473644,0.427336916545121,0.658786725639137,-0.108227284467644,-1894.51147335874
0,-1.36133948765981,-1.56575367247925,-0.341140448494354,-0.0193137447238179,0.379657881566686,0.427431871705782,0.658982164068828,-0.108220334791235,-1894.51146971323
0,-1.36134500137415,-1.56575772938023,-0.34114046189063,-0.0193137352901388,0.379657662065326,0.427432152896413,0.658979217838121,-0.108220331873011,-1894.5114696935
