"asc_NonStop","asc_1Stop","asc_1StopChange","asc_1StopChange_Shift_Income","b_StopPenaltyHours","b_StopPenaltyHours_Shift_Business","b_Fare","b_Legroom2","b_Legroom3","b_Legroom4","b_DiffTime","logLike"
0,0,0,0,0,0,0,0,0,0,0,-3182.67980027151
0,0,0,0,0,0,0,0,0,0,0,-3182.67980027151
0,-0.000251221333333333,-0.000273237333333333,-0.000149333333333333,-0.000693333333333334,-0.000234581333333333,-0.0273800533333333,1.70666666666671e-06,-5.1199999999996e-07,4.53973333333334e-05,-0.000685983288888888,-3106.96738142143
0,-0.152670840825338,-0.175050503531981,-0.0951811080343316,-0.432336200594707,-0.144066857314239,-0.0270459795324553,0.00446040906978891,-0.0029306212683792,0.0261441185588097,-0.419927315288379,-2761.94757461255
0,-0.374782167442069,-0.425540671947006,-0.227126062511812,-1.03152963195773,-0.343930541773195,-0.0270045126459323,0.00496471119505745,0.00316338344162805,0.0683839780233243,-0.280683331717714,-2127.82078617702
0,-0.66653400668841,-0.842433423243435,-0.0911049823438911,-0.806263193708627,-0.369818944673891,-0.0269107816201638,0.0796886581570673,0.21505964952146,0.556941675679191,-0.283615783090204,-2072.07858442527
0,-1.18685405586438,-1.40450006822332,0.224578081420143,-0.510557304126516,-0.389026302568029,-0.0268873822625689,0.61234990201323,0.579937848767231,0.531065228577502,-0.284915952887371,-2037.29731620775
0,-1.17071869978619,-1.68565729668937,0.259525096503067,-0.432051645796206,-0.362610362833637,-0.0269506101661007,0.605472404040632,0.503569343713707,0.45286647896506,-0.283186439805497,-2033.33006079574
0,-1.32160767386883,-1.89565558464808,0.45857976022826,-0.362452378241015,-0.33311065482764,-0.0268946166889179,0.460882700730243,0.335694363454364,0.348662375309417,-0.281502055266186,-2024.40253953448
0,-1.32193438213075,-1.9266490917997,0.488173702276035,-0.352429439164902,-0.357955150157881,-0.0268321590470087,0.3925134630622,0.392649590458172,0.315505102610818,-0.28088202250668,-2021.74669937881
0,-1.00587703737976,-2.00902942832617,1.06823765757246,-0.413545016796741,-1.07547837198824,-0.0238813257754741,0.599531947775586,0.349252359277414,0.772105323557249,-0.157167027466987,-1956.69265849239
0,-1.10586190571911,-2.03207975765861,0.978501455302342,-0.490492864530907,-0.729136287855408,-0.0230345508458249,0.584974063978765,0.441541894084566,0.875335343323312,-0.125265764890291,-1917.09932850844
0,-1.19498731136097,-2.0220147147773,0.848595422068595,-0.422165585881469,-0.772393612421604,-0.0229428232144575,0.564159020699723,0.418996599792242,0.856858358297846,-0.123196197732231,-1913.3577704727
0,-1.5093290550376,-2.03056923486822,0.500786528810045,-0.267618045492709,-0.232064165890476,-0.0212534220560473,0.39090955790328,0.492923133659376,0.749391232193244,-0.108466518433205,-1882.81005747126
0,-1.43200535256126,-1.92985866250637,0.465286417060422,-0.258129958764277,-0.311079831093234,-0.0204155138933636,0.38527519106512,0.452154404347885,0.702050554964024,-0.107442138938951,-1879.14636073817
0,-1.35542395551592,-1.85640039166789,0.470821012169353,-0.26335771730024,-0.311617330806907,-0.0194653299192541,0.38248344589515,0.419805352354936,0.66319564203033,-0.108603202432618,-1878.04994058825
0,-1.35998738417667,-1.85837175619408,0.470072004130039,-0.265451772589228,-0.31361430739421,-0.0195161849380456,0.384628139952462,0.424341460968219,0.669481771913512,-0.109139775486326,-1878.0388254027
0,-1.36017588727314,-1.85868885222523,0.469989068017483,-0.265344096318286,-0.312977350755953,-0.0195097074916208,0.384401241780208,0.424315350380906,0.669615700029005,-0.109120328785518,-1878.03873427382
0,-1.36014936199769,-1.85871446731808,0.47003378789156,-0.265351046534524,-0.312988739116265,-0.0195091121010893,0.384410405856092,0.424300980118578,0.669597572235266,-0.109132900436009,-1878.03873316433
0,-1.36015090610101,-1.85870987430201,0.470033750307783,-0.265350932289163,-0.312988749792831,-0.0195091435794211,0.384410295819342,0.42430098719852,0.669598542381988,-0.109132764746402,-1878.03873316177
